fitnessId,exercise,weight130,weight155,weight180,weight205,calories,createdAt,updatedAt
107,Lacrosse,472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
108,Orienteering,531,633,735,838,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
109,"Playing paddleball",354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
110,"Paddleball competitive",590,704,817,931,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
111,Polo,472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
112,"Racquetball competitive",590,704,817,931,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
113,"Playing racquetball",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
114,"Rock climbing ascending rock",649,774,899,1024,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
115,"Rock climbing rappelling",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
116,"Jumping rope fast",708,844,981,1117,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
117,"Jumping rope moderate",590,704,817,931,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
118,"Jumping rope slow",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
119,Rugby,590,704,817,931,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
120,"Shuffleboard lawn bowling",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
121,Skateboarding,295,352,409,465,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
122,"Roller skating",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
123,"Roller blading in-line skating",708,844,981,1117,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
124,"Sky diving",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
125,"Soccer competitive",590,704,817,931,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
126,"Playing soccer",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
127,"Softball or baseball",295,352,409,465,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
128,"Softball officiating",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
129,"Softball pitching",354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
130,Squash,708,844,981,1117,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
131,"Table tennis ping pong",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
132,"Tai chi",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
133,"Playing tennis",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
134,"Tennis doubles",354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
135,"Tennis singles",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
136,Trampoline,207,246,286,326,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
137,"Volleyball competitive",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
138,"Playing volleyball",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
139,"Volleyball beach",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
140,Wrestling,354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
141,Wallyball,413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
142,"Backpacking Hiking with pack",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
143,"Carrying infant level ground",207,246,286,326,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
144,"Carrying infant upstairs",295,352,409,465,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
145,"Carrying 16 to 24 lbs upstairs",354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
146,"Carrying 25 to 49 lbs upstairs",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
147,"Standing playing with children light",165,197,229,261,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
148,"Walk/run playing with children moderate",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
149,"Walk/run playing with children vigorous",295,352,409,465,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
150,"Carrying small children",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
151,"Loading unloading car",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
152,"Climbing hills carrying up to 9 lbs",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
