85,"Golf, using power cart",207,246,286,326,0.721008179104478,"2020-11-02 16:26:57","2020-11-02 16:26:57"
86,Gymnastics,236,281,327,372,0.823235629850746,"2020-11-02 16:26:57","2020-11-02 16:26:57"
87,"Hacky sack",236,281,327,372,0.823235629850746,"2020-11-02 16:26:57","2020-11-02 16:26:57"
88,Handball,708,844,981,1117,2.47106089552239,"2020-11-02 16:26:57","2020-11-02 16:26:57"
89,"Handball, team",472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
90,"Hockey, field hockey",472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
91,"Hockey, ice hockey",472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
92,"Riding a horse, general",236,281,327,372,0.823235629850746,"2020-11-02 16:26:57","2020-11-02 16:26:57"
93,"Horesback riding, saddling horse",207,246,286,326,0.721008179104478,"2020-11-02 16:26:57","2020-11-02 16:26:57"
94,"Horseback riding, grooming horse",207,246,286,326,0.721008179104478,"2020-11-02 16:26:57","2020-11-02 16:26:57"
95,"Horseback riding, trotting",384,457,531,605,1.33843490149254,"2020-11-02 16:26:57","2020-11-02 16:26:57"
96,"Horseback riding, walking",148,176,204,233,0.515199271641791,"2020-11-02 16:26:57","2020-11-02 16:26:57"
97,"Horse racing, galloping",472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
98,"Horse grooming, moderate",354,422,490,558,1.23485344477612,"2020-11-02 16:26:57","2020-11-02 16:26:57"
99,"Horseshoe pitching",177,211,245,279,0.61742672238806,"2020-11-02 16:26:57","2020-11-02 16:26:57"
100,"Jai alai",708,844,981,1117,2.47106089552239,"2020-11-02 16:26:57","2020-11-02 16:26:57"
101,"Martial arts, judo, karate, jujitsu",590,704,817,931,2.05944308059702,"2020-11-02 16:26:57","2020-11-02 16:26:57"
102,"Martial arts, kick boxing",590,704,817,931,2.05944308059702,"2020-11-02 16:26:57","2020-11-02 16:26:57"
103,"Martial arts, tae kwan do",590,704,817,931,2.05944308059702,"2020-11-02 16:26:57","2020-11-02 16:26:57"
104,"Krav maga training",590,704,817,931,2.05944308059702,"2020-11-02 16:26:57","2020-11-02 16:26:57"
105,Juggling,236,281,327,372,0.823235629850746,"2020-11-02 16:26:57","2020-11-02 16:26:57"
106,Kickball,413,493,572,651,1.44133935522388,"2020-11-02 16:26:57","2020-11-02 16:26:57"
107,Lacrosse,472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
108,Orienteering,531,633,735,838,1.85295717014925,"2020-11-02 16:26:57","2020-11-02 16:26:57"
109,"Playing paddleball",354,422,490,558,1.23485344477612,"2020-11-02 16:26:57","2020-11-02 16:26:57"
110,"Paddleball, competitive",590,704,817,931,2.05944308059702,"2020-11-02 16:26:57","2020-11-02 16:26:57"
111,Polo,472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
112,"Racquetball, competitive",590,704,817,931,2.05944308059702,"2020-11-02 16:26:57","2020-11-02 16:26:57"
113,"Playing racquetball",413,493,572,651,1.44133935522388,"2020-11-02 16:26:57","2020-11-02 16:26:57"
114,"Rock climbing, ascending rock",649,774,899,1024,2.2652519880597,"2020-11-02 16:26:57","2020-11-02 16:26:57"
115,"Rock climbing, rappelling",472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
116,"Jumping rope, fast",708,844,981,1117,2.47106089552239,"2020-11-02 16:26:57","2020-11-02 16:26:57"
117,"Jumping rope, moderate",590,704,817,931,2.05944308059702,"2020-11-02 16:26:57","2020-11-02 16:26:57"
118,"Jumping rope, slow",472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
119,Rugby,590,704,817,931,2.05944308059702,"2020-11-02 16:26:57","2020-11-02 16:26:57"
120,"Shuffleboard, lawn bowling",177,211,245,279,0.61742672238806,"2020-11-02 16:26:57","2020-11-02 16:26:57"
121,Skateboarding,295,352,409,465,1.02972154029851,"2020-11-02 16:26:57","2020-11-02 16:26:57"
122,"Roller skating",413,493,572,651,1.44133935522388,"2020-11-02 16:26:57","2020-11-02 16:26:57"
123,"Roller blading, in-line skating",708,844,981,1117,2.47106089552239,"2020-11-02 16:26:57","2020-11-02 16:26:57"
124,"Sky diving",177,211,245,279,0.61742672238806,"2020-11-02 16:26:57","2020-11-02 16:26:57"
125,"Soccer, competitive",590,704,817,931,2.05944308059702,"2020-11-02 16:26:57","2020-11-02 16:26:57"
126,"Playing soccer",413,493,572,651,1.44133935522388,"2020-11-02 16:26:57","2020-11-02 16:26:57"
127,"Softball or baseball",295,352,409,465,1.02972154029851,"2020-11-02 16:26:57","2020-11-02 16:26:57"
128,"Softball, officiating",236,281,327,372,0.823235629850746,"2020-11-02 16:26:57","2020-11-02 16:26:57"
129,"Softball, pitching",354,422,490,558,1.23485344477612,"2020-11-02 16:26:57","2020-11-02 16:26:57"
130,Squash,708,844,981,1117,2.47106089552239,"2020-11-02 16:26:57","2020-11-02 16:26:57"
131,"Table tennis, ping pong",236,281,327,372,0.823235629850746,"2020-11-02 16:26:57","2020-11-02 16:26:57"
132,"Tai chi",236,281,327,372,0.823235629850746,"2020-11-02 16:26:57","2020-11-02 16:26:57"
133,"Playing tennis",413,493,572,651,1.44133935522388,"2020-11-02 16:26:57","2020-11-02 16:26:57"
134,"Tennis, doubles",354,422,490,558,1.23485344477612,"2020-11-02 16:26:57","2020-11-02 16:26:57"
135,"Tennis, singles",472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
136,Trampoline,207,246,286,326,0.721008179104478,"2020-11-02 16:26:57","2020-11-02 16:26:57"
137,"Volleyball, competitive",472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
138,"Playing volleyball",177,211,245,279,0.61742672238806,"2020-11-02 16:26:57","2020-11-02 16:26:57"
139,"Volleyball, beach",472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
140,Wrestling,354,422,490,558,1.23485344477612,"2020-11-02 16:26:57","2020-11-02 16:26:57"
141,Wallyball,413,493,572,651,1.44133935522388,"2020-11-02 16:26:57","2020-11-02 16:26:57"
142,"Backpacking, Hiking with pack",413,493,572,651,1.44133935522388,"2020-11-02 16:26:57","2020-11-02 16:26:57"
143,"Carrying infant, level ground",207,246,286,326,0.721008179104478,"2020-11-02 16:26:57","2020-11-02 16:26:57"
144,"Carrying infant, upstairs",295,352,409,465,1.02972154029851,"2020-11-02 16:26:57","2020-11-02 16:26:57"
145,"Carrying 16 to 24 lbs, upstairs",354,422,490,558,1.23485344477612,"2020-11-02 16:26:57","2020-11-02 16:26:57"
146,"Carrying 25 to 49 lbs, upstairs",472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
147,"Standing, playing with children, light",165,197,229,261,0.576806543283582,"2020-11-02 16:26:57","2020-11-02 16:26:57"
148,"Walk/run, playing with children, moderate",236,281,327,372,0.823235629850746,"2020-11-02 16:26:57","2020-11-02 16:26:57"
149,"Walk/run, playing with children, vigorous",295,352,409,465,1.02972154029851,"2020-11-02 16:26:57","2020-11-02 16:26:57"
150,"Carrying small children",177,211,245,279,0.61742672238806,"2020-11-02 16:26:57","2020-11-02 16:26:57"
151,"Loading, unloading car",177,211,245,279,0.61742672238806,"2020-11-02 16:26:57","2020-11-02 16:26:57"
152,"Climbing hills, carrying up to 9 lbs",413,493,572,651,1.44133935522388,"2020-11-02 16:26:57","2020-11-02 16:26:57"
153,"Climbing hills, carrying 10 to 20 lb",443,528,613,698,1.5449208119403,"2020-11-02 16:26:57","2020-11-02 16:26:57"
154,"Climbing hills, carrying 21 to 42 lb",472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
155,"Climbing hills, carrying over 42 lb",531,633,735,838,1.85295717014925,"2020-11-02 16:26:57","2020-11-02 16:26:57"
156,"Walking downstairs",177,211,245,279,0.61742672238806,"2020-11-02 16:26:57","2020-11-02 16:26:57"
157,"Hiking, cross country",354,422,490,558,1.23485344477612,"2020-11-02 16:26:57","2020-11-02 16:26:57"
158,"Bird watching",148,176,204,233,0.515199271641791,"2020-11-02 16:26:57","2020-11-02 16:26:57"
159,"Marching, rapidly, military",384,457,531,605,1.33843490149254,"2020-11-02 16:26:57","2020-11-02 16:26:57"
160,"Children's games, hopscotch, dodgeball",295,352,409,465,1.02972154029851,"2020-11-02 16:26:57","2020-11-02 16:26:57"
161,"Pushing stroller or walking with children",148,176,204,233,0.515199271641791,"2020-11-02 16:26:57","2020-11-02 16:26:57"
162,"Pushing a wheelchair",236,281,327,372,0.823235629850746,"2020-11-02 16:26:57","2020-11-02 16:26:57"
163,"Race walking",384,457,531,605,1.33843490149254,"2020-11-02 16:26:57","2020-11-02 16:26:57"
164,"Rock climbing, mountain climbing",472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
165,"Walking using crutches",295,352,409,465,1.02972154029851,"2020-11-02 16:26:57","2020-11-02 16:26:57"
167,"Walking the dog",177,211,245,279,0.61742672238806,"2020-11-02 16:26:57","2020-11-02 16:26:57"
168,"Walking, under 2.0 mph, very slow",118,141,163,186,0.411617814925373,"2020-11-02 16:26:57","2020-11-02 16:26:57"
169,"Walking 2.0 mph, slow",148,176,204,233,0.515199271641791,"2020-11-02 16:26:57","2020-11-02 16:26:57"
170,"Walking 2.5 mph",177,211,245,279,0.61742672238806,"2020-11-02 16:26:57","2020-11-02 16:26:57"
171,"Walking 3.0 mph, moderate",195,232,270,307,0.679710997014925,"2020-11-02 16:26:57","2020-11-02 16:26:57"
171,"Walking 3.5 mph, brisk pace",224,267,311,354,0.782615450746269,"2020-11-02 16:26:57","2020-11-02 16:26:57"
172,"Walking 3.5 mph, uphill",354,422,490,558,1.23485344477612,"2020-11-02 16:26:57","2020-11-02 16:26:57"
173,"Walking 4.0 mph, very brisk",295,352,409,465,1.02972154029851,"2020-11-02 16:26:57","2020-11-02 16:26:57"
174,"Walking 4.5 mph",372,443,515,586,1.29713771940299,"2020-11-02 16:26:57","2020-11-02 16:26:57"
175,"Walking 5.0 mph",472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
176,"Boating, power, speed boat",148,176,204,233,0.515199271641791,"2020-11-02 16:26:57","2020-11-02 16:26:57"
177,"Canoeing, camping trip",236,281,327,372,0.823235629850746,"2020-11-02 16:26:57","2020-11-02 16:26:57"
178,"Canoeing, rowing, light",177,211,245,279,0.61742672238806,"2020-11-02 16:26:57","2020-11-02 16:26:57"
179,"Canoeing, rowing, moderate",413,493,572,651,1.44133935522388,"2020-11-02 16:26:57","2020-11-02 16:26:57"
180,"Canoeing, rowing, vigorous",708,844,981,1117,2.47106089552239,"2020-11-02 16:26:57","2020-11-02 16:26:57"
181,"Crew, sculling, rowing, competition",708,844,981,1117,2.47106089552239,"2020-11-02 16:26:57","2020-11-02 16:26:57"
